Family,Genus,beta.statussc,beta.age,se.statussc,se.age,W.statussc,W.age,p.statussc,p.age,q.statussc,q.age,structural_zero (status = nc),structural_zero (status = sc)
Methanobacteriaceae,Methanobrevibacter,0.601,0.00789,0.287,0.00857,2.09,0.921,0.0365,0.357,0.115,0.686,No,No
Methanobacteriaceae,Methanosphaera,-0.0728,8.31e-4,0.125,0.00463,-0.581,0.18,0.561,0.857,0.767,0.904,No,No
Actinomycetaceae,Actinomyces,0.255,0.00549,0.188,0.0063,1.36,0.872,0.174,0.383,0.373,0.686,No,No
Bifidobacteriaceae,Bifidobacterium,-0.103,0.0118,0.376,0.0114,-0.273,1.04,0.785,0.3,0.906,0.672,No,No
Coriobacteriaceae,Collinsella,0.606,0.0287,0.255,0.00797,2.38,3.59,0.0175,3.27e-4,0.0898,0.0203,No,No
Coriobacteriaceae,Slackia,0.505,0.0174,0.21,0.0062,2.41,2.81,0.016,0.00501,0.0898,0.103,No,No
[Odoribacteraceae],Butyricimonas,-0.336,0.00864,0.248,0.0074,-1.36,1.17,0.175,0.243,0.373,0.672,No,No
[Odoribacteraceae],Odoribacter,-0.33,-0.00249,0.216,0.00603,-1.53,-0.412,0.127,0.68,0.292,0.832,No,No
[Paraprevotellaceae],[Prevotella],1.32,-0.00769,0.401,0.0122,3.3,-0.628,9.74e-4,0.53,0.0121,0.75,No,No
[Paraprevotellaceae],Paraprevotella,-0.304,-0.0174,0.303,0.00907,-1,-1.92,0.316,0.0549,0.544,0.315,No,No
Bacteroidaceae,Bacteroides,-1.01,-0.0153,0.276,0.00796,-3.67,-1.92,2.42e-4,0.0551,0.005,0.315,No,No
Porphyromonadaceae,Parabacteroides,-0.189,-0.0128,0.241,0.00676,-0.786,-1.89,0.432,0.0585,0.676,0.315,No,No
Prevotellaceae,Prevotella,0.797,0.00416,0.409,0.0132,1.95,0.314,0.0513,0.754,0.144,0.885,No,No
Rikenellaceae,Alistipes,-1.18,-0.00433,0.329,0.00975,-3.59,-0.444,3.25e-4,0.657,0.00504,0.831,No,No
Lactobacillaceae,Lactobacillus,0.272,-0.00135,0.177,0.00528,1.54,-0.256,0.124,0.798,0.292,0.899,No,No
Streptococcaceae,Lactococcus,-0.0131,0.00384,0.16,0.00525,-0.082,0.73,0.935,0.465,0.966,0.75,No,No
Streptococcaceae,Streptococcus,0.0298,0.00507,0.247,0.00811,0.12,0.625,0.904,0.532,0.966,0.75,No,No
Turicibacteraceae,Turicibacter,-0.216,0.00328,0.239,0.00806,-0.902,0.407,0.367,0.684,0.599,0.832,No,No
[Mogibacteriaceae],Mogibacterium,1.32,0.00529,0.233,0.00752,5.66,0.703,1.52e-8,0.482,9.41e-7,0.75,No,No
Christensenellaceae,Christensenella,0.0838,-0.00649,0.108,0.00305,0.779,-2.13,0.436,0.0335,0.676,0.296,No,No
Clostridiaceae,02d06,0.512,0.0111,0.228,0.00703,2.25,1.59,0.0248,0.113,0.102,0.466,No,No
NA,Clostridium,-0.301,-0.00405,0.277,0.00784,-1.08,-0.516,0.278,0.606,0.522,0.817,No,No
Clostridiaceae,SMB53,0.116,-0.00207,0.204,0.00667,0.569,-0.31,0.569,0.756,0.767,0.885,No,No
